Source IP          Destination IP     Flow Size
100.110.64.3       50.224.90.224      21           
100.110.64.3       50.224.90.231      4            
100.110.64.74      108.151.193.43     1            
100.110.64.74      6.72.238.219       5            
100.110.64.74      80.42.185.209      4            
100.110.65.17      50.224.90.225      73           
100.110.65.182     50.224.90.224      12           
100.110.65.2       192.173.212.240    4            
100.110.66.133     50.224.90.231      14           
100.110.66.158     50.224.90.234      15           
100.110.66.242     50.224.90.231      12           
100.110.66.249     50.224.76.234      12           
100.110.66.58      50.224.90.231      10           
100.110.67.100     50.224.90.224      10           
100.110.67.104     50.224.90.224      6            
100.110.67.143     109.209.228.249    38           
100.110.68.142     50.224.90.224      12           
100.110.68.215     192.67.179.212     24           
100.110.68.228     109.2.213.220      1            
100.110.69.131     159.137.162.213    5            
100.110.69.140     50.224.90.227      35           
100.110.70.230     50.224.105.35      6            
100.110.70.49      80.40.9.42         4043         
100.110.72.128     192.67.153.19      1            
100.110.73.179     50.224.90.226      26           
100.110.73.184     254.242.191.147    74           
100.110.73.187     50.224.76.235      56           
100.110.73.237     50.224.76.236      5            
100.110.74.215     109.209.228.246    40           
100.110.74.240     50.224.90.231      6            
100.110.74.48      139.193.141.139    78           
100.110.74.50      50.224.90.224      6            
100.110.78.173     109.209.96.43      1            
100.110.78.183     108.151.193.43     7            
100.110.78.183     80.41.52.195       1            
100.110.78.191     50.224.90.224      10           
100.110.78.191     50.224.90.233      6            
100.110.78.20      220.81.106.222     1            
100.110.78.252     50.224.76.236      26           
100.110.78.252     50.224.90.231      4            
100.110.79.100     248.239.168.153    1            
100.110.79.121     50.224.116.41      146          
100.110.79.121     50.224.116.50      5            
100.110.79.157     6.75.102.123       1            
100.110.8.123      82.18.11.246       1            
100.110.8.148      220.82.138.248     1            
100.110.8.148      80.40.31.225       1            
100.110.8.148      80.41.37.59        1            
100.110.81.89      50.224.90.231      4            
100.110.81.89      50.224.90.234      7            
100.110.82.114     91.251.17.175      1            
100.110.82.198     50.224.75.48       451          
100.110.82.198     50.224.90.233      4            
100.110.82.75      50.224.90.224      8            
100.110.83.69      50.224.90.233      13           
100.110.84.149     50.224.90.227      7            
100.110.84.185     192.173.212.227    25           
100.110.85.225     50.224.76.230      14           
100.110.86.22      6.74.15.55         1            
100.110.86.45      129.1.42.138       6            
100.110.86.45      129.1.60.144       1            
100.110.86.45      80.41.211.125      1            
100.110.87.173     50.224.90.231      8            
100.110.87.173     50.224.90.233      21           
100.110.87.186     92.168.239.72      6            
100.110.88.62      50.224.90.224      6            
100.110.89.0       50.224.90.180      64           
100.110.89.207     50.224.90.224      11           
100.110.89.207     50.224.90.225      21           
100.110.9.73       192.64.223.19      1            
100.110.9.73       220.80.85.167      10           
100.110.9.73       220.83.196.214     6            
100.110.9.73       220.83.80.26       1            
100.110.91.200     159.237.227.103    8            
100.110.91.200     220.80.92.243      7            
100.110.92.132     50.224.90.225      30           
100.110.92.218     109.209.228.250    27           
100.110.92.78      192.173.212.227    11           
100.110.93.109     50.224.90.231      2            
100.110.93.116     89.183.104.169     8            
100.110.94.190     248.239.142.107    1            
100.110.94.74      92.168.239.72      6            
100.110.95.121     50.224.90.233      21           
100.110.95.14      50.224.76.236      5            
100.110.95.99      192.173.212.227    26           
100.110.95.99      215.158.140.205    10           
100.110.95.99      227.145.169.207    12           
100.110.97.81      220.81.120.76      1            
100.112.32.108     132.212.0.151      260          
100.112.32.108     132.212.0.153      356          
100.112.32.108     132.212.0.154      574          
100.112.32.108     221.116.140.134    528          
100.112.32.108     8.166.44.168       64           
100.112.32.108     8.166.44.177       187          
100.112.32.201     221.116.133.238    5            
100.112.32.201     221.116.96.134     5            
100.112.32.201     221.116.97.122     5            
100.112.32.201     221.116.97.236     5            
100.112.32.38      129.46.203.219     8            
100.112.33.249     133.23.234.203     5            
100.112.34.78      221.116.131.199    14           
100.112.36.139     129.46.136.88      4            
100.112.36.139     221.116.32.19      4            
100.112.36.242     129.252.153.97     57           
100.112.37.236     50.224.76.237      14           
100.112.37.61      50.224.103.76      1            
100.112.37.61      50.224.112.82      1            
100.112.37.61      50.224.76.236      10           
100.112.37.61      50.224.76.237      4            
100.112.37.67      132.249.70.111     15           
100.112.37.67      91.221.243.232     8            
100.112.39.188     133.23.234.87      16           
100.112.39.188     221.116.102.55     31           
100.112.40.203     50.224.106.209     40           
100.112.43.107     192.205.40.187     13           
100.112.45.106     138.98.151.44      5            
100.112.45.106     138.98.203.230     5            
100.112.45.41      133.54.22.142      23           
100.112.45.41      138.98.206.104     17           
100.112.47.187     91.221.240.8       2            
100.112.47.191     91.221.240.8       1            
100.113.0.147      111.147.162.205    1            
100.113.0.147      138.46.82.65       1            
100.113.0.147      220.80.105.100     1            
100.113.0.147      97.120.36.123      1            
100.113.0.157      97.73.213.22       1814         
100.113.0.157      97.73.213.23       141          
100.113.0.187      144.85.170.246     1557         
100.113.10.107     243.171.132.65     1            
100.113.10.237     243.171.132.0      3            
100.113.10.45      243.171.134.229    1            
100.113.11.113     243.171.132.0      1            
100.113.11.82      243.171.134.205    1            
100.113.12.46      243.171.132.9      1            
100.113.12.89      243.171.132.7      1            
100.113.14.104     243.171.132.86     1            
100.113.14.203     243.171.132.7      1            
100.113.15.161     243.171.132.11     1            
100.113.15.23      243.171.132.14     1            
